code_colour,item_status,odm_customer,item_name,item_location,receive_qty,stock_qty,release_date,item_aging,pack_unit,pack_size,item_group,item_category,odm_ppo,mfg_date,item_cargo,arrive_date,soldout_date,soldout_status
C24252791 WHITE,NOT RELEASE,,,,17,17,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
C24134802 BLUE/PINK,NOT RELEASE,,,,34,34,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
C24776807 MULTI,NOT RELEASE,,,,30,30,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
C24170805 FLAMINGO,NOT RELEASE,,,,40,40,,,4,"{""ONE SIZE"":4}",BOHO,DRESS,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
P24181793 MULTI,NOT RELEASE,,,,25,25,,,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
C24286821 BEIGE LEOPARD,NOT RELEASE,,,,17,,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-27 00:00:00+00,AIR,,,
C24204847 BLACK,NOT RELEASE,,,,17,,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-27 00:00:00+00,AIR,,,
C24270824 NAVY,NOT RELEASE,,,,22,,,,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,PANT,,2024-12-27 00:00:00+00,AIR,,,
C24143822 NAVY,NOT RELEASE,,,,22,,,,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,SHIRT,,2024-12-27 00:00:00+00,AIR,,,
VA24618574 BLACK/PINK,SHIPPING,VINE APPAREL,,,320,,,,1,,ODM,DRESS,PO1862,2024-12-27 00:00:00+00,AIR,,,
C24270851 BLACK FLORAL,NOT RELEASE,,,,21,,,,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,PANT,,2024-12-27 00:00:00+00,AIR,,,
C24248850 BLACK FLORAL,NOT RELEASE,,,,21,,,,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,TOP,,2024-12-27 00:00:00+00,AIR,,,
TZ24239870 NAVY/BLUE,SHIPPING,THINGZ,,,70,,,,1,,ODM,DRESS,PO1861,2024-12-27 00:00:00+00,AIR,,,
